TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
com.google.javascript.jscomp.FunctionInjector,BRANCH,0.104,250,26
org.apache.commons.codec.binary.Base64,BRANCH,0.9487179487179487,195,185
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax,BRANCH,0.24152542372881355,236,57
com.google.javascript.jscomp.TypeInference,BRANCH,0.21059268600252207,793,167
org.apache.commons.codec.binary.Base64,BRANCH,0.9608938547486033,179,54
com.google.javascript.jscomp.NodeUtil,BRANCH,0.47651006711409394,2682,1277
org.apache.commons.codec.binary.Base64,BRANCH,0.9898477157360406,197,195
org.apache.commons.codec.binary.Base64,BRANCH,0.9898477157360406,197,104
org.apache.commons.codec.language.DoubleMetaphone,BRANCH,0.8293172690763052,498,413
org.apache.commons.codec.binary.Base64,BRANCH,0.9850746268656716,201,195
org.apache.commons.codec.language.DoubleMetaphone,BRANCH,0.8928571428571429,504,450
com.google.javascript.rhino.jstype.UnionType,BRANCH,0.9518716577540107,187,178
org.apache.commons.codec.net.QuotedPrintableCodec,BRANCH,0.9523809523809523,42,40
com.google.javascript.jscomp.ScopedAliases,BRANCH,0.1592356687898089,157,25
org.apache.commons.compress.archivers.zip.ZipArchiveEntry,BRANCH,1.0,78,78
org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream,BRANCH,0.8461538461538461,91,77
org.apache.commons.codec.binary.Base64InputStream,BRANCH,0.9705882352941176,34,33
org.apache.commons.codec.binary.Base64,BRANCH,0.9378238341968912,193,181
org.apache.commons.codec.binary.BaseNCodecInputStream,BRANCH,0.9642857142857143,28,27
org.apache.commons.codec.language.Soundex,BRANCH,0.9761904761904762,42,41
org.apache.commons.compress.archivers.tar.TarUtils,BRANCH,1.0,41,41
org.apache.commons.compress.archivers.tar.TarArchiveOutputStream,BRANCH,0.7027027027027027,37,26
org.apache.commons.collections4.keyvalue.MultiKey,BRANCH,0.9565217391304348,23,22
org.apache.commons.collections4.map.MultiValueMap,BRANCH,0.6385542168674698,83,53
org.apache.commons.collections4.IteratorUtils,BRANCH,0.6766467065868264,167,113
org.apache.commons.compress.archivers.ar.ArArchiveInputStream,BRANCH,0.5555555555555556,45,25
org.apache.commons.compress.archivers.tar.TarArchiveOutputStream,BRANCH,0.6944444444444444,36,25
org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream,BRANCH,0.8762886597938144,97,85
org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream,BRANCH,0.6259541984732825,131,82
org.apache.commons.compress.archivers.zip.ZipArchiveInputStream,BRANCH,0.3402061855670103,97,33
org.apache.commons.compress.archivers.tar.TarUtils,BRANCH,0.9761904761904762,42,41
org.apache.commons.compress.archivers.tar.TarArchiveOutputStream,BRANCH,0.9375,48,45
org.apache.commons.compress.archivers.zip.ZipFile,BRANCH,0.14814814814814814,135,20
org.apache.commons.compress.archivers.zip.Zip64ExtendedInformationExtraField,BRANCH,1.0,72,72
org.apache.commons.compress.utils.IOUtils,BRANCH,1.0,21,21
org.apache.commons.compress.changes.ChangeSetPerformer,BRANCH,0.7692307692307693,52,40
org.apache.commons.collections4.trie.AbstractPatriciaTrie,BRANCH,0.46677740863787376,602,281
org.apache.commons.compress.archivers.ArchiveStreamFactory,BRANCH,0.8723404255319149,47,41
org.apache.commons.compress.archivers.zip.ZipArchiveEntry,BRANCH,0.9689922480620154,129,125
org.apache.commons.compress.archivers.tar.TarUtils,BRANCH,0.9857142857142858,70,67
